"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-19T05:35:28.028","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-75.0","0.0"
"2022-05-19T05:35:29.126","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-74.499504","0.2495042460160017"
"2022-05-19T05:35:32.442","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.329124","5.424818607375967"
"2022-05-19T05:35:33.551","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.49801","0.2519939601000064"
"2022-05-19T05:35:34.659","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.5996","0.1603201600000038"
"2022-05-19T05:35:36.873","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.15843","4.658820064899981"
"2022-05-19T05:35:37.986","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72","-72.98867","0.9774683688999981"
"2022-05-19T05:35:39.094","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72","-72.8608","0.7409766399999959"
"2022-05-19T05:35:42.418","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-72.99305","1.0139483025000067"
"2022-05-19T05:35:43.530","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-72.99379","3.856409999994821E-5"
"2022-05-19T05:35:47.962","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-72.99439","3.1472100000048626E-5"
"2022-05-19T05:35:49.072","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.08511","0.8370237120999996"
"2022-05-19T05:35:52.392","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.16236","0.7016407695999888"
"2022-05-19T05:35:53.503","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.149445","0.022333808025000016"
"2022-05-19T05:35:54.615","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-73.28899","2.9275552201000057"
"2022-05-19T05:35:57.930","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.340065","0.4355142042250058"
"2022-05-19T05:35:59.039","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76","-73.52298","6.1356280803999805"
"2022-05-19T05:36:02.361","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.48842","0.23855409640000486"
"2022-05-19T05:36:03.470","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.52103","0.22941226090000372"
"2022-05-19T05:36:04.576","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76","-73.67396","5.410462081600028"
"2022-05-19T05:36:06.795","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.6336","0.40144896000000163"
"2022-05-19T05:36:07.906","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.59668","0.35602702240000755"
"2022-05-19T05:36:09.014","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.56276","0.3166988175999969"
"2022-05-19T05:36:12.334","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.58706","0.170519443600005"
"2022-05-19T05:36:13.444","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-73.55509","0.30812490810000775"
"2022-05-19T05:36:17.878","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.57886","0.177358899599995"
"2022-05-19T05:36:18.994","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-73.653496","1.813073022015989"
"2022-05-19T05:36:20.099","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-73.72311","1.630448072099986"
"2022-05-19T05:36:22.316","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74","-73.73721","0.06905858409999759"
"2022-05-19T05:36:23.425","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-73.800735","1.4382365402249926"
"2022-05-19T05:36:24.535","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-73.86034","1.2988249156000145"
"2022-05-19T05:36:27.858","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72","-73.76888","3.128936454399985"
