timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020
2022-06-25 20:16:38 +0000 ,-58.973198,-200.0,-65.72872,-63.156425,-68.33771,-72.132614,-70.9149,-69.170654,-73.16227,-75.33345,-87.036156,-85.71702,-79.4893,-74.06676,-80.82059,-82.88748,-90.88462,-200.0,-81.22113,-85.80784
2022-06-25 20:16:39 +0000 ,-58.884686,-200.0,-65.5919,-63.07229,-68.466866,-72.37424,-70.92273,-200.0,-72.965614,-75.14326,-87.14584,-200.0,-200.0,-74.03866,-80.8838,-82.87554,-200.0,-91.901505,-81.27207,-85.54567
2022-06-25 20:16:40 +0000 ,-59.14624,-200.0,-65.86065,-62.905846,-200.0,-72.75089,-70.929756,-69.110344,-200.0,-200.0,-200.0,-85.64961,-79.80543,-200.0,-200.0,-83.09363,-90.92304,-91.48203,-81.19857,-200.0
2022-06-25 20:16:41 +0000 ,-59.89644,-200.0,-200.0,-200.0,-68.33195,-200.0,-71.14081,-69.03139,-72.5839,-75.15499,-87.222755,-85.63767,-80.15836,-74.03517,-80.91607,-200.0,-90.880615,-91.134285,-81.158,-200.0
2022-06-25 20:16:42 +0000 ,-200.0,-200.0,-66.09688,-200.0,-68.46212,-72.587555,-200.0,-69.00676,-72.24227,-74.959724,-87.1568,-85.87144,-80.29736,-74.03203,-80.85588,-83.28709,-90.796974,-91.12476,-200.0,-85.3811
2022-06-25 20:16:43 +0000 ,-60.098736,-200.0,-66.46986,-62.938965,-68.4183,-72.40257,-200.0,-69.886,-72.0892,-74.56286,-87.05422,-86.14724,-80.29247,-74.16362,-80.71277,-83.30468,-91.07624,-200.0,-200.0,-85.117645
2022-06-25 20:16:44 +0000 ,-60.09003,-200.0,-66.66991,-63.033707,-68.15962,-72.41263,-70.99003,-200.0,-72.12684,-74.22745,-86.89446,-200.0,-200.0,-74.39233,-80.62861,-83.27766,-200.0,-91.20436,-81.00579,-84.83693
2022-06-25 20:16:45 +0000 ,-59.88262,-200.0,-66.787155,-63.32103,-200.0,-72.531235,-70.79211,-70.2208,-200.0,-200.0,-200.0,-86.131485,-80.266815,-200.0,-200.0,-83.520485,-200.0,-91.07127,-80.756935,-84.38056
2022-06-25 20:16:46 +0000 ,-59.49831,-200.0,-200.0,-200.0,-68.14847,-200.0,-70.634125,-70.5568,-72.00393,-74.54286,-86.92779,-86.03263,-80.309746,-74.42156,-80.77297,-200.0,-91.22817,-90.953995,-80.443085,-200.0
2022-06-25 20:16:47 +0000 ,-200.0,-200.0,-66.96005,-200.0,-68.22286,-73.39162,-200.0,-70.81356,-71.96133,-74.75469,-87.08769,-85.87672,-80.36984,-74.450966,-80.63635,-83.4932,-91.091606,-200.0,-80.27222,-84.23953
2022-06-25 20:16:48 +0000 ,-59.568737,-200.0,-67.138275,-63.71217,-68.42254,-73.54473,-200.0,-70.67341,-71.83267,-74.731094,-87.320206,-200.0,-80.424545,-74.6968,-80.40681,-83.23028,-90.83504,-200.0,-200.0,-84.352066
2022-06-25 20:16:49 +0000 ,-59.582336,-200.0,-67.16834,-64.02181,-68.58048,-73.41023,-70.357765,-200.0,-71.73939,-74.53597,-87.6845,-200.0,-200.0,-74.98357,-80.132034,-83.015045,-200.0,-91.00383,-80.69467,-84.49663
2022-06-25 20:16:50 +0000 ,-59.400562,-200.0,-67.15373,-64.282005,-200.0,-73.287796,-70.130646,-70.836716,-200.0,-200.0,-200.0,-86.108734,-200.0,-200.0,-200.0,-83.037575,-200.0,-90.75751,-80.91528,-200.0
2022-06-25 20:16:51 +0000 ,-58.99645,-200.0,-200.0,-200.0,-68.44074,-200.0,-70.3412,-71.04552,-72.26637,-74.31632,-88.12393,-86.38009,-80.60573,-74.91647,-79.5981,-200.0,-90.58189,-90.49439,-80.67887,-200.0
2022-06-25 20:16:52 +0000 ,-200.0,-200.0,-66.81207,-200.0,-68.360855,-72.979256,-200.0,-70.82078,-72.73823,-74.247185,-88.479866,-86.541,-80.55053,-75.01298,-79.28994,-82.92392,-90.28573,-200.0,-200.0,-84.42926
2022-06-25 20:16:53 +0000 ,-58.89245,-200.0,-66.72383,-64.32062,-68.32971,-72.83192,-200.0,-70.621605,-72.77883,-74.29128,-88.456474,-200.0,-80.351295,-75.05358,-79.09233,-82.823166,-90.12973,-200.0,-200.0,-84.30482
2022-06-25 20:16:54 +0000 ,-58.836376,-200.0,-66.682236,-64.22696,-68.30131,-72.825554,-70.59303,-200.0,-72.71172,-74.22167,-88.265625,-200.0,-200.0,-75.1143,-78.91203,-82.817566,-200.0,-90.210236,-80.55661,-84.25736
2022-06-25 20:16:55 +0000 ,-58.699127,-200.0,-66.558105,-64.12069,-200.0,-72.97127,-70.735825,-70.67796,-200.0,-200.0,-200.0,-86.60147,-79.95266,-200.0,-200.0,-82.83329,-90.23014,-90.19477,-80.37665,-200.0
2022-06-25 20:16:56 +0000 ,-58.748627,-200.0,-200.0,-200.0,-68.275375,-200.0,-70.8451,-70.6612,-72.65047,-74.247055,-88.462204,-86.63581,-79.52638,-75.32107,-79.00852,-200.0,-90.31853,-90.5938,-80.23648,-200.0
2022-06-25 20:16:57 +0000 ,-200.0,-200.0,-66.68506,-200.0,-67.99088,-72.623764,-200.0,-70.47376,-72.65974,-73.920586,-88.4404,-86.79769,-79.202385,-75.22541,-79.04936,-82.9129,-90.37787,-90.53668,-200.0,-84.03806
2022-06-25 20:16:58 +0000 ,-58.46525,-200.0,-66.81891,-63.958275,-67.648,-72.66181,-200.0,-70.261055,-72.819275,-73.56297,-88.3818,-87.11746,-78.9924,-75.164505,-79.04512,-82.87598,-90.43188,-200.0,-200.0,-83.97209
2022-06-25 20:16:59 +0000 ,-58.212086,-200.0,-67.11583,-63.92015,-67.530106,-72.66725,-70.944756,-200.0,-73.07161,-73.387276,-88.414116,-200.0,-200.0,-75.28059,-78.84594,-82.735565,-200.0,-90.710655,-80.064064,-83.90907
2022-06-25 20:17:00 +0000 ,-58.08734,-200.0,-67.57952,-63.927036,-200.0,-72.54485,-71.23172,-70.262245,-200.0,-200.0,-200.0,-87.58134,-79.53749,-200.0,-200.0,-82.58655,-200.0,-90.7982,-79.88595,-83.89607
2022-06-25 20:17:01 +0000 ,-57.79897,-200.0,-200.0,-200.0,-67.48463,-200.0,-71.42553,-70.390686,-73.58316,-73.46343,-88.07398,-87.59084,-79.93831,-75.49319,-78.796936,-200.0,-90.34975,-90.68492,-79.984795,-200.0
2022-06-25 20:17:02 +0000 ,-200.0,-200.0,-67.654236,-200.0,-67.44307,-200.0,-200.0,-70.52878,-74.19855,-73.46514,-87.57376,-87.5194,-80.07083,-75.70819,-78.74931,-82.710686,-90.29862,-200.0,-200.0,-84.16607
2022-06-25 20:17:03 +0000 ,-57.993362,-200.0,-67.337975,-63.737522,-67.40509,-72.152016,-72.34334,-70.65496,-74.456604,-73.42526,-87.16092,-87.47485,-80.21551,-75.70964,-78.945114,-82.841995,-90.40371,-200.0,-200.0,-84.430534
2022-06-25 20:17:04 +0000 ,-58.27176,-200.0,-66.96607,-63.567333,-67.37037,-71.840225,-72.8444,-200.0,-74.45891,-73.453804,-87.324234,-200.0,-200.0,-75.7788,-79.59686,-82.94128,-200.0,-90.86622,-80.09297,-84.65129
