,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
25,R03,-200.0,-72.66868,-200.0,-68.47746,-200.0,-200.0,-200.0,-200.0,-200.0,-66.52523,-76.83546,-200.0,-57.761066,-74.54253,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,153.55442810058594,S
26,R03,-200.0,-72.03706,-200.0,-68.391365,-200.0,-200.0,-200.0,-200.0,-200.0,-66.553665,-77.02495,-200.0,-56.75594,-74.62746,-200.0,-200,-200,-200,-200.0,-71.78701,-200,-200,90.84293365478516,E
27,R03,-200.0,-72.68852,-200.0,-67.97119,-200.0,-200.0,-200.0,-200.0,-200.0,-66.57968,-75.66741,-200.0,-57.89513,-74.648636,-200.0,-200,-200,-200,-200.0,-71.74115,-200,-200,323.56365966796875,N
28,R03,-200.0,-72.590126,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-66.66042,-76.84867,-200.0,-57.72642,-74.19328,-200.0,-200,-200,-200,-200.0,-71.64217,-200,-200,310.78448486328125,W
29,R03,-200.0,-72.44288,-200.0,-68.02837,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.68673,-200.0,-57.62828,-74.3347,-200.0,-200,-200,-200,-200.0,-71.3286,-200,-200,303.51446533203125,W
30,R03,-200.0,-72.30711,-200.0,-68.19016,-200.0,-200.0,-200.0,-200.0,-200.0,-66.512566,-76.59299,-200.0,-57.48221,-74.207596,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,281.8258972167969,W
31,R03,-200.0,-72.03706,-200.0,-68.18,-200.0,-200.0,-200.0,-200.0,-200.0,-66.321335,-76.45182,-200.0,-56.75594,-74.143074,-200.0,-200,-200,-200,-200.0,-71.36515,-200,-200,287.5383605957031,W
32,R03,-200.0,-72.29039,-200.0,-68.06551,-200.0,-200.0,-200.0,-200.0,-200.0,-66.09046,-75.66741,-200.0,-57.673725,-74.083046,-200.0,-200,-200,-200,-200.0,-71.34564,-200,-200,289.4488525390625,W
33,R03,-200.0,-72.22145,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-65.98068,-76.58797,-200.0,-57.79801,-74.19328,-200.0,-200,-200,-200,-200.0,-71.59007,-200,-200,284.9175720214844,W
34,R03,-200.0,-72.36737,-200.0,-68.062126,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.609604,-200.0,-57.80862,-74.285545,-200.0,-200,-200,-200,-200.0,-71.86976,-200,-200,288.9971618652344,W
35,R03,-200.0,-72.81367,-200.0,-67.75318,-200.0,-200.0,-200.0,-200.0,-200.0,-65.6198,-76.68148,-200.0,-58.180405,-74.22003,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,291.14080810546875,W
36,R03,-200.0,-72.03706,-200.0,-67.5141,-200.0,-200.0,-200.0,-200.0,-200.0,-65.28244,-76.74868,-200.0,-56.75594,-74.10837,-200.0,-200,-200,-200,-200.0,-71.876396,-200,-200,322.0311889648437,N
37,R03,-200.0,-72.56835,-200.0,-67.38915,-200.0,-200.0,-200.0,-200.0,-200.0,-65.36883,-75.66741,-200.0,-58.018322,-74.15269,-200.0,-200,-200,-200,-200.0,-71.78201,-200,-200,0.795525074005127,N
38,R03,-200.0,-72.33857,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-65.897194,-76.66073,-200.0,-57.967102,-74.19328,-200.0,-200,-200,-200,-200.0,-71.54435,-200,-200,13.152467727661133,N
39,R03,-200.0,-72.17264,-200.0,-67.37002,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.4291,-200.0,-58.018436,-74.04687,-200.0,-200,-200,-200,-200.0,-71.32096,-200,-200,12.823001861572266,N
40,R03,-200.0,-72.26247,-200.0,-67.49802,-200.0,-200.0,-200.0,-200.0,-200.0,-66.14804,-76.21137,-200.0,-58.01753,-73.94725,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,11.806333541870115,N
41,R03,-200.0,-72.03706,-200.0,-67.474,-200.0,-200.0,-200.0,-200.0,-200.0,-66.384186,-76.20109,-200.0,-56.75594,-73.94979,-200.0,-200,-200,-200,-200.0,-71.59735,-200,-200,10.79403305053711,N
42,R03,-200.0,-72.006355,-200.0,-67.4035,-200.0,-200.0,-200.0,-200.0,-200.0,-66.60678,-75.66741,-200.0,-58.065346,-74.62172,-200.0,-200,-200,-200,-200.0,-71.61677,-200,-200,22.771862030029297,N
43,R03,-200.0,-71.957825,-200.0,-67.01482,-200.0,-200.0,-200.0,-200.0,-200.0,-66.72124,-76.52897,-200.0,-58.11042,-74.19328,-200.0,-200,-200,-200,-200.0,-71.49162,-200,-200,28.515668869018555,N
44,R03,-200.0,-71.95984,-200.0,-67.24198,-200.0,-200.0,-200.0,-200.0,-200.0,-66.604095,-76.31237,-200.0,-58.24861,-74.59221,-200.0,-200,-200,-200,-200.0,-71.468285,-200,-200,33.632991790771484,N
45,R03,-200.0,-71.86683,-200.0,-67.230576,-200.0,-200.0,-200.0,-200.0,-200.0,-66.829384,-76.06025,-200.0,-58.141895,-74.42291,-200.0,-200,-200,-200,-200.0,-70.66555,-200,-200,5.45949125289917,N
