,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
24,A06,-200.0,-200.0,-200.0,-70.119064,-66.78745,-58.716667,-65.138855,-67.60451,-73.17796,-200.0,-200.0,-200,-200.0,-200.0,-64.17474,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,183.62628173828125,S
25,A06,-200.0,-200.0,-200.0,-71.059074,-66.60323,-64.625215,-64.950905,-67.56831,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-73.448425,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,182.5703582763672,S
26,A06,-200.0,-200.0,-200.0,-71.23045,-66.50103,-58.853394,-64.778946,-67.59347,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.04452,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,186.68338012695312,S
27,A06,-200.0,-200.0,-200.0,-71.55843,-68.520647,-58.97848,-62.295471500000005,-69.36859,-72.9811,-200.0,-200.0,-200,-200.0,-200.0,-63.925377,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,187.74124145507807,S
28,A06,-200.0,-200.0,-200.0,-71.972015,-68.520647,-59.036552,-64.734665,-67.73027,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.10016,-72.92538,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,187.74124145507807,S
29,A06,-200.0,-200.0,-200.0,-70.119064,-66.34674,-59.0901,-64.74941,-67.74526,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.15017,-73.59112,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,188.80470275878903,S
30,A06,-200.0,-200.0,-200.0,-71.9191,-66.32597,-64.625215,-64.65417,-67.5958,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-73.66782,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,263.3175964355469,W
31,A06,-200.0,-200.0,-200.0,-71.869995,-66.36525,-59.24852,-64.40551,-67.61739,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.17641,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,289.6540832519531,W
32,A06,-200.0,-200.0,-200.0,-71.87682,-66.51503,-59.502377,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.273834,-73.597046,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,285.1272277832031,W
33,A06,-200.0,-200.0,-200.0,-71.83149,-68.520647,-59.633545,-63.80653,-67.79504,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.36449,-72.92538,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,286.1347045898437,W
34,A06,-200.0,-200.0,-200.0,-70.119064,-66.65314,-59.652493,-63.24785,-67.96073,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.449036,-200.0,-200.0,-200.0,-73.51283,-200.0,-200.0,-200.0,285.1337890625,W
35,A06,-200.0,-200.0,-200.0,-71.63623,-66.72646,-64.625215,-62.725597,-68.16658,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-73.48632,-200.0,-200.0,-200.0,284.2197570800781,W
36,A06,-200.0,-200.0,-200.0,-71.45334,-66.74107,-59.823086,-62.18612,-68.30909,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.63,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,289.4354858398437,W
37,A06,-200.0,-200.0,-200.0,-71.23201,-66.80719,-59.831985,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-65.79951,-200.0,-200.0,-200.0,-73.46154,-200.0,-200.0,-200.0,283.7726135253906,W
38,A06,-200.0,-200.0,-200.0,-71.02397,-68.520647,-59.790634,-61.679874,-68.39313,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.00827,-72.92538,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,284.855712890625,W
39,A06,-200.0,-200.0,-200.0,-70.119064,-66.97225,-59.75177,-61.20403,-68.47212,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.351974,-200.0,-200.0,-200.0,-73.319046,-200.0,-200.0,-200.0,280.4739685058594,W
40,A06,-200.0,-200.0,-200.0,-70.97414,-67.12655,-64.625215,-60.804752,-68.595146,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-73.352516,-200.0,-200.0,-200.0,279.4095764160156,W
41,A06,-200.0,-200.0,-200.0,-71.02361,-67.32138,-59.76385,-60.47659,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.28617,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,278.4061584472656,W
42,A06,-200.0,-200.0,-200.0,-70.97466,-67.5042,-59.775238,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.320595,-200.0,-200.0,-200.0,-73.43269,-200.0,-200.0,-200.0,278.4061584472656,W
43,A06,-200.0,-200.0,-200.0,-70.88094,-68.520647,-59.881634,-60.07121,-68.566444,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.59221,-72.92538,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,278.4061584472656,W
44,A06,-200.0,-200.0,-200.0,-70.119064,-67.3811,-60.12455,-59.735615,-68.53935,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-66.753944,-200.0,-200.0,-200.0,-72.96934,-200.0,-200.0,-200.0,279.4703063964844,W
45,A06,-200.0,-200.0,-200.0,-70.74516,-67.45989,-64.625215,-59.465305,-68.7036,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-72.78095,-200.0,-200.0,-200.0,280.5036315917969,W
46,A06,-200.0,-200.0,-200.0,-70.663445,-67.727066,-60.02442,-59.443516,-69.14172,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.1897,-200.0,-200.0,-200.0,-72.69699,-200.0,-200.0,-200.0,280.518798828125,W
47,A06,-200.0,-200.0,-200.0,-70.586006,-68.17053,-59.929623,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.22764,-200.0,-200.0,-200.0,-72.791275,-200.0,-200.0,-200.0,279.5002136230469,W
48,A06,-200.0,-200.0,-200.0,-70.41995,-68.520647,-60.02601,-59.143536,-69.088264,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.263596,-200.0,-200.0,-200.0,-72.75423,-200.0,-200.0,-200.0,274.8581237792969,W
49,A06,-200.0,-200.0,-200.0,-70.119064,-68.114975,-60.163723,-58.81274,-69.08415,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.344,-200.0,-200.0,-200.0,-72.71912,-200.0,-200.0,-200.0,279.6394348144531,W
50,A06,-72.63961,-200.0,-200.0,-70.354515,-68.015305,-64.625215,-58.54488,-69.126564,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,278.6203918457031,W
51,A06,-72.425804,-200.0,-200.0,-70.33825,-67.96776,-60.340504,-58.42813,-69.21289,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.42031,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,278.6203918457031,W
52,A06,-72.22277,-200.0,-200.0,-70.14004,-68.520647,-60.508385,-62.295471500000005,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.492775,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,276.49420166015625,W
53,A06,-200.0,-200.0,-200.0,-69.95159,-68.520647,-60.576534,-58.271503,-69.294876,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.56164,-200.0,-200.0,-200.0,-72.75618,-200.0,-200.0,-200.0,274.0787048339844,W
54,A06,-72.1669,-200.0,-200.0,-70.119064,-67.92271,-60.73236,-58.122593,-69.50985,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.67262,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,282.69586181640625,W
55,A06,-72.113785,-200.0,-200.0,-69.77233,-67.78737,-64.625215,-57.93558,-69.80527,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.04071,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,288.95269775390625,W
56,A06,-72.06326,-200.0,-200.0,-69.55652,-67.56676,-60.88059,-57.712387,-69.36859,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-67.732834,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,287.18634033203125,W
