"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-19T05:41:12.027","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75","-75.0","0.0"
"2022-05-19T05:41:13.109","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-80","-77.502495","6.23753122502502"
"2022-05-19T05:41:14.222","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-87","-80.67886","39.95681089959999"
"2022-05-19T05:41:17.542","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-78.74575","33.01364306250001"
"2022-05-19T05:41:18.655","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-77.58287","21.002697436899997"
"2022-05-19T05:41:24.193","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-86","-79.0113","48.84192768999992"
"2022-05-19T05:41:27.512","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-78.130394","26.32094259523595"
"2022-05-19T05:41:28.623","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-77.46687","19.9529275969"
"2022-05-19T05:41:29.731","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-76.94833","15.589309788899989"
"2022-05-19T05:41:31.944","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-87","-78.00993","80.82135860490006"
"2022-05-19T05:41:33.052","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-88","-78.98056","81.35029791360006"
"2022-05-19T05:41:34.164","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-78.44103","29.604807460899977"
"2022-05-19T05:41:37.476","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72","-77.897224","34.77725090617593"
"2022-05-19T05:41:38.588","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-79","-77.984955","1.0303163520250014"
"2022-05-19T05:41:39.696","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77","-77.91068","0.8293380623999986"
"2022-05-19T05:41:43.018","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-90","-78.77922","125.90590380840011"
"2022-05-19T05:41:47.447","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-79","-78.7944","0.042271360000001645"
"2022-05-19T05:41:48.556","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78","-78.741905","0.5504230290250041"
"2022-05-19T05:41:49.666","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77","-78.63086","2.659704339599995"
"2022-05-19T05:41:52.986","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-91","-79.39394","134.70062872359998"
"2022-05-19T05:41:54.097","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72","-78.9512","48.31918144"
"2022-05-19T05:41:57.415","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-78.6044","31.40929935999998"
"2022-05-19T05:41:58.525","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78","-78.570045","0.3249513020249923"
"2022-05-19T05:41:59.631","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-79","-78.59394","0.16488472359999717"
