,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
25,R05,-86.43166,-200,-81.816986,-84.13743,-74.0790725,-64.29309,-77.234474,-80.093575,-76.05624,-89.695114,-200,-200,-200,-86.08642,-61.66469,-80.068592,-89.9979,-75.678406,-80.11017,-200,-89.98841,-84.71406,2
26,R05,-88.09173,-200,-81.828224,-84.38811,-74.0790725,-64.29309,-77.089455,-79.8279,-77.04787,-89.721054,-200,-200,-200,-85.93677,-61.392838,-79.35853,-89.9979,-80.463925,-79.67371,-200,-89.38135,-85.07828,2
27,R05,-87.57344,-200,-84.50335999999999,-82.218975,-72.84522,-62.26459,-77.39089,-82.640973,-76.87024,-88.750268,-200,-200,-200,-85.8239,-61.204483,-79.60473,-89.9979,-80.463925,-82.984217,-200,-89.38135,-85.2679,2
28,R05,-87.52824,-200,-84.50335999999999,-82.218975,-72.63609,-62.3036,-78.784465,-82.640973,-76.7109,-88.750268,-200,-200,-200,-85.50058,-58.451008,-79.16741,-89.9979,-75.69715,-82.984217,-200,-89.38135,-200.0,2
29,R05,-86.43166,-200,-81.6634,-84.118744,-72.66117,-62.69475,-77.6595,-79.89986,-76.05624,-88.750268,-200,-200,-200,-85.20881,-58.451008,-80.068592,-89.9979,-75.71397,-80.10068,-200,-89.38135,-200.0,2
30,R05,-86.43166,-200,-81.84863,-84.40321,-74.0790725,-64.29309,-78.34459,-80.37192,-76.05624,-89.539566,-200,-200,-200,-86.08642,-61.193638,-80.068592,-89.9979,-75.57001,-79.81751,-200,-89.38135,-200.0,2
31,R05,-87.48941,-200,-82.3871,-82.218975,-74.0790725,-62.709652,-78.53849,-82.640973,-76.83232,-89.226776,-200,-200,-200,-85.1982,-61.23462,-80.068592,-89.9979,-80.463925,-82.984217,-200,-89.38135,-85.19007,2
32,R05,-86.43166,-200,-84.50335999999999,-82.218975,-72.68316,-62.723297,-78.784465,-82.640973,-76.89166,-88.750268,-200,-200,-200,-85.18852,-61.223167,-79.11042,-89.9979,-80.463925,-82.984217,-200,-89.38135,-200.0,2
33,R05,-86.43166,-200,-82.5199,-84.10326,-73.070915,-62.645153,-78.784465,-80.628845,-76.84814,-88.750268,-200,-200,-200,-86.08642,-58.451008,-80.068592,-89.9979,-75.642685,-79.66806,-200,-89.38135,-200.0,2
34,R05,-86.43166,-200,-82.7386,-84.363,-74.0790725,-62.5292,-78.30783,-80.86071,-76.05624,-88.750268,-200,-200,-200,-86.08642,-61.400677,-80.068592,-89.9979,-75.660126,-79.481636,-200,-89.64868,-85.237274,2
