estimated
A02
A02
A02
A02
A02
A02
A02
A02
A02
A11
A03
A03
R02
A02
R01
R02
R02
R02
R02
R01
R02
R02
A02
R04
A02
R03
R03
R02
R02
R03
A02
A02
A08
A02
R02
A02
A01
A01
A01
A02
A02
A02
A02
A02
A02
A02
A02
R03
A02
A02
A02
R03
R02
R02
R01
R03
R02
A02
R02
A01
R02
R02
A02
A02
A02
A02
A02
R02
R02
R03
A02
A02
A02
A02
R01
A02
A02
R02
R02
A02
A08
A02
A02
A02
A03
A02
A02
A02
A02
A02
A02
A02
