,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,0,R04,-81.0,-65.0,-82.0,-76.0,-82.81503000000001,-87.00449,-86.0,-83.97519,-82.0,-74.0,-72.655637,-74.0,-68.0,-57.865444,-88.85175,-200,-200,-200,-200,-64.0,-200,-88.0
1,1,R04,-81.0,-65.500496,-82.0,-74.534035,-84.0,-88.0,-86.0,-83.97519,-83.001,-72.999,-72.655637,-75.001,-68.500496,-57.865444,-88.85175,-200,-200,-200,-200,-65.501495,-200,-88.0
2,2,R04,-80.331116,-65.66755,-81.331116,-74.534035,-82.498505,-88.500496,-84.66223,-89.0,-83.33511,-74.41937,-65.0,-78.01064,-70.6742,-53.0,-88.85175,-200,-200,-200,-200,-66.002655,-200,-89.00333
3,3,R04,-79.49252,-65.4995,-82.84574,-76.500496,-83.00067,-88.66755,-83.23679,-84.996,-82.999,-70.99268,-64.499504,-78.48147,-72.77018,-53.0,-88.85175,-200,-200,-200,-200,-66.6814325,-200,-89.617205
4,4,R04,-79.94074,-67.09084,-82.75823,-77.33643,-83.25224,-87.00449,-84.011566,-84.32845,-82.79617,-70.491035,-64.33245,-77.25272,-74.582775,-53.668884,-88.85175,-200,-200,-200,-200,-66.6814325,-200,-89.617205
5,5,R04,-80.607185,-64.79124,-83.61672,-78.00697,-82.81503000000001,-87.00449,-85.010376,-83.99402,-82.99921,-70.59405,-65.25574,-76.39202,-72.816696,-55.26271,-88.85175,-200,-200,-200,-200,-67.26071,-200,-89.75772
6,6,R04,-79.655624,-64.31755,-82.83325,-74.534035,-83.201195,-89.60317,-85.00861,-83.97519,-82.829636,-71.51146,-72.655637,-76.32549,-72.5084,-57.865444,-88.85175,-200,-200,-200,-200,-67.81511,-200,-89.40198
7,7,R04,-78.97338,-64.12447,-82.271515,-74.534035,-83.506454,-89.50082,-84.714264,-83.79284,-82.561516,-74.41937,-66.8231,-78.48147,-72.140816,-55.20954,-88.85175,-200,-200,-200,-200,-67.50708,-200,-89.33376
8,8,R04,-78.459496,-63.979042,-82.84574,-78.61273,-83.432236,-89.42742,-84.49255,-83.65829,-82.618225,-71.87614,-67.53193,-78.622475,-71.99327,-56.0225,-88.85175,-200,-200,-200,-200,-66.6814325,-200,-89.617205
9,9,R04,-79.94074,-67.09084,-82.10706,-78.33905,-83.89366,-87.00449,-84.011566,-83.415276,-82.79617,-71.89216,-68.040146,-77.76598,-74.582775,-56.45883,-88.85175,-200,-200,-200,-200,-66.6814325,-200,-89.617205
10,10,R04,-78.75442,-63.749302,-81.746376,-77.84974,-82.81503000000001,-87.00449,-84.66755,-83.23223,-82.77863,-71.32424,-72.655637,-77.67706,-71.52971,-56.528824,-88.85175,-200,-200,-200,-200,-66.99315,-200,-89.75663
11,11,R04,-78.56912,-63.670162,-81.87878,-74.534035,-83.789925,-88.85481,-84.70266,-83.97519,-82.696396,-70.86754,-72.655637,-77.81678,-71.05131,-57.865444,-89.97999,-200,-200,-200,-200,-66.99403,-200,-89.552704
12,12,R04,-78.31951,-63.896526,-82.18203,-74.534035,-83.81211,-88.871666,-84.44007,-83.32136,-82.72589,-74.41937,-68.42294,-78.48147,-71.143486,-56.815693,-89.75014,-200,-200,-200,-200,-66.64647,-200,-89.70556
