,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,0,E02,-89.09779,-200,-84.0,-86.0,-81.0,-75.0,-76.83677,-82.0,-76.0,-200,-200,-200,-200,-200,-77.902265,-50.0,-64.0,-87.0,-69.0,-200,-81.94255,-82.59655000000001
1,1,E02,-89.09779,-200,-85.501495,-86.0,-80.499504,-75.0,-74.0,-81.499504,-84.091497,-200,-200,-200,-200,-200,-76.0,-50.5005,-64.0,-82.996,-69.500496,-200,-81.0,-86.0
2,2,E02,-89.09779,-200,-87.00599,-86.33444,-83.62299999999999,-81.981195,-72.498505,-83.3391,-81.005,-200,-200,-200,-200,-200,-76.500496,-57.9539925,-64.33444,-82.32845,-71.00532,-200,-82.001,-84.498505
3,3,E02,-89.09779,-200,-88.26321,-88.157387,-82.3391,-78.67886,-72.66623,-82.621414,-81.33777,-200,-200,-200,-200,-200,-77.670876,-53.677536,-65.929715,-83.67161,-71.75922,-200,-82.669556,-85.00067
4,4,E02,-89.09779,-200,-89.078207,-88.157387,-82.757225,-80.01843,-72.75025,-82.621414,-83.01495,-200,-200,-200,-200,-200,-80.27118,-54.262203,-65.929715,-83.67161,-71.27736,-200,-83.50798,-84.49701
5,5,E02,-89.09779,-200,-89.078207,-88.157387,-82.806366,-80.62187,-76.83677,-84.00897,-83.82149,-200,-200,-200,-200,-200,-77.902265,-54.613914,-61.984547,-84.25973,-72.01034,-200,-81.94255,-82.59655000000001
6,6,E02,-89.09779,-200,-88.614716,-87.76072,-82.66952,-82.21338,-75.027084,-84.00716,-84.091497,-200,-200,-200,-200,-200,-81.22824,-56.20677,-61.582893,-84.61194,-72.17829,-200,-83.60757,-84.39642
7,7,E02,-89.09779,-200,-88.6801,-88.21393,-83.62299999999999,-81.981195,-76.04071,-83.836235,-85.20942,-200,-200,-200,-200,-200,-81.528915,-57.9539925,-62.671906,-85.017204,-72.298706,-200,-83.674164,-84.49885
8,8,E02,-89.09779,-200,-88.58044,-89.195854,-81.39906,-82.182106,-75.8882,-84.73949,-84.739105,-200,-200,-200,-200,-200,-81.59795,-55.883385,-62.866528,-85.7474,-72.26007,-200,-82.84266,-83.83958
9,9,E02,-89.09779,-200,-89.078207,-88.157387,-80.571465,-82.158554,-76.03199,-82.621414,-84.25552,-200,-200,-200,-200,-200,-80.87396,-55.51047,-65.929715,-83.67161,-71.27736,-200,-81.957695,-82.955
10,10,E02,-89.09779,-200,-89.078207,-89.460236,-79.9247,-82.37232,-76.83677,-83.99719,-83.87761,-200,-200,-200,-200,-200,-77.902265,-54.87078,-62.366463,-85.392075,-71.41728,-200,-81.94255,-82.59655000000001
11,11,E02,-89.09779,-200,-89.15203,-89.65938,-80.35511,-82.75546,-75.331764,-83.301,-84.091497,-200,-200,-200,-200,-200,-81.120766,-54.356358,-61.975662,-85.23048,-71.16199,-200,-82.07869,-82.84414
12,12,E02,-89.09779,-200,-89.25047,-89.69892,-83.62299999999999,-81.981195,-74.97988,-82.846756,-84.091497,-200,-200,-200,-200,-200,-80.79117,-57.9539925,-61.555775,-84.57245,-71.14625,-200,-82.28161,-83.177444
13,13,E02,-89.09779,-200,-89.329636,-88.157387,-81.19504,-83.36218,-75.078995,-83.05596,-84.41861,-200,-200,-200,-200,-200,-80.32566,-54.41889,-61.404617,-84.03103,-71.04284,-200,-82.35141,-83.451675
14,14,E02,-89.09779,-200,-89.7834,-88.157387,-81.44808,-83.78057,-75.974,-82.621414,-85.446686,-200,-200,-200,-200,-200,-80.47671,-54.471317,-65.929715,-83.67161,-71.27736,-200,-82.31971,-83.501144
15,15,E02,-89.09779,-200,-89.078207,-88.157387,-81.57911,-84.13681,-76.83677,-82.9607,-86.308525,-200,-200,-200,-200,-200,-77.902265,-54.431526,-61.819183,-83.93802,-71.29251,-200,-81.94255,-82.59655000000001
16,16,E02,-89.09779,-200,-89.078207,-88.157387,-81.69215,-84.76235,-76.482765,-83.13287,-84.091497,-200,-200,-200,-200,-200,-81.027466,-54.397198,-62.25659,-83.689964,-71.74656,-200,-82.71486,-83.71212
17,17,E02,-89.09779,-200,-89.078207,-88.157387,-83.62299999999999,-81.981195,-76.92168,-83.20186,-84.091497,-200,-200,-200,-200,-200,-81.02528,-57.9539925,-62.55439,-83.63507,-72.06729,-200,-83.055756,-83.89413
18,18,E02,-89.09779,-200,-89.078207,-88.157387,-83.62299999999999,-84.78027,-77.00299,-83.11124,-86.19805,-200,-200,-200,-200,-200,-81.02338,-54.141037,-65.929715,-83.73799,-72.277985,-200,-82.74993,-83.90211
19,19,E02,-89.09779,-200,-89.078207,-88.157387,-82.09238,-84.436844,-77.00277,-82.621414,-85.943634,-200,-200,-200,-200,-200,-81.0217,-54.059063,-65.929715,-83.67161,-71.27736,-200,-82.48053,-83.98098
20,20,E02,-89.09779,-200,-89.078207,-88.157387,-81.942055,-84.131744,-76.83677,-82.744026,-86.023285,-200,-200,-200,-200,-200,-77.902265,-54.123764,-62.135567,-83.32575,-71.9838,-200,-81.94255,-82.59655000000001
21,21,E02,-89.09779,-200,-89.078207,-88.157387,-81.87727,-83.792595,-77.34641,-82.4178,-84.091497,-200,-200,-200,-200,-200,-80.882675,-53.983406,-61.694767,-83.16582,-71.65443,-200,-82.30996,-84.32612
22,22,E02,-89.09779,-200,-89.078207,-88.157387,-83.62299999999999,-81.981195,-77.059166,-82.58846,-86.38083,-200,-200,-200,-200,-200,-80.36172,-57.9539925,-61.30316,-82.9566,-71.48521,-200,-82.09121,-84.7011
23,23,E02,-89.09779,-200,-89.078207,-88.157387,-82.01756,-83.67832,-76.86414,-82.93344,-86.28587,-200,-200,-200,-200,-200,-79.89242,-53.72947,-60.820503,-82.70437,-72.31897,-200,-82.085396,-84.9114
24,24,E02,-89.09779,-200,-89.078207,-88.157387,-81.9527,-83.636475,-77.24268,-82.621414,-86.20089,-200,-200,-200,-200,-200,-79.5289,-53.56108,-65.929715,-83.67161,-71.27736,-200,-82.14182,-84.97856
