,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,0,A04,-67.0,-78.855088,-67.0,-71.0,-70.5552,-63.0,-66.0,-70.20942,-71.602825,-75.0,-89.44005,-87.69274,-86.0,-81.89693,-76.0,-82.0,-88.3742945,-87.64742,-78.0,-88.0,-200,-87.33182
1,1,A04,-66.499504,-83.0,-68.66642,-65.388756,-65.0,-64.001,-65.499504,-67.0,-70.0,-75.500496,-89.44005,-87.69274,-87.501495,-81.89693,-75.499504,-82.0,-88.3742945,-89.0,-75.497505,-88.0,-200,-87.33182
2,2,A04,-67.00133,-84.001,-68.66642,-65.388756,-64.499504,-64.669556,-65.66689,-67.500496,-70.0,-74.99867,-89.44005,-87.0,-81.37284,-81.89693,-74.66357,-80.66223,-88.3742945,-86.497505,-75.331116,-88.668884,-200,-87.33182
3,3,A04,-67.9237255,-78.855088,-70.003,-71.0,-63.663563,-64.4652275,-65.750755,-69.33976,-70.0,-74.495514,-89.44005,-87.0,-87.33377,-88.990685,-75.839475,-81.356655,-88.3742945,-85.99667,-76.506485,-86.664246,-200,-89.999
4,4,A04,-67.756226,-82.32845,-71.67421,-70.66556,-63.24477,-64.4652275,-66.75394,-70.20942,-71.602825,-75.678215,-89.44005,-87.0,-86.494514,-88.993034,-75.251755,-80.74727,-88.3742945,-87.64742,-78.6628475,-86.664246,-200,-89.99934
5,5,A04,-67.80556,-83.75623,-72.00797,-70.749756,-70.5552,-65.75973,-66.20598,-68.75074,-71.602825,-75.678215,-89.44005,-87.50349,-87.0016,-81.89693,-75.80797,-80.39364,-88.3742945,-86.75275,-78.22549,-87.997,-200,-89.74776
6,6,A04,-67.499146,-83.60318,-68.66642,-70.80041,-63.60001,-65.80836,-65.66191,-68.801186,-69.24477,-75.609566,-89.498505,-87.69274,-85.9831,-89.601616,-75.84055,-79.98743,-88.3742945,-85.79084,-77.50841,-87.79522,-200,-87.33182
7,7,A04,-67.57254,-83.33111,-75.2446,-65.388756,-63.837597,-66.01059,-65.27183,-68.49552,-68.992836,-76.015236,-89.44005,-87.806366,-81.37284,-89.16011,-75.839475,-79.4031,-89.81507,-85.65663,-77.28736,-87.99968,-200,-88.17969
8,8,A04,-67.9237255,-78.855088,-75.203094,-70.83428,-63.71485,-64.4652275,-65.23667,-67.83674,-68.99405,-76.30608,-89.44005,-88.348335,-86.4252,-88.550476,-75.839475,-81.356655,-89.54909,-85.413864,-77.379524,-88.14627,-200,-87.300674
9,9,A04,-68.27448,-84.16184,-74.73371,-71.005104,-63.6224,-65.42287,-66.75394,-70.20942,-71.602825,-75.678215,-89.44005,-88.297295,-86.628876,-88.34995,-76.157,-79.60963,-89.34875,-87.64742,-78.6628475,-86.664246,-200,-87.11007
10,10,A04,-68.24262,-84.14091,-74.25083,-71.00445,-70.5552,-64.98019,-65.2092,-68.50451,-71.602825,-75.678215,-89.44005,-88.00018,-86.78805,-81.89693,-76.65402,-80.0032,-88.3742945,-86.39499,-77.9159,-86.664246,-200,-87.09583
11,11,A04,-68.005775,-84.12455,-68.66642,-71.00393,-64.36275,-64.8664,-65.1871,-69.026375,-68.99492,-76.525154,-89.44005,-87.69274,-87.23289,-88.19324,-77.15853,-80.3197,-89.308266,-85.884796,-77.92478,-88.51535,-200,-87.33182
