timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 21:49:41 +0000,-88.3385,-68.69083,-89.94772,-80.68298,-200.0,-200.0,-90.97518,-200.0,-90.39668,-84.5843,-200.0,-66.287506,-77.25409,-69.25955,-200.0,-200.0,-200.0,-200.0,-200.0,-68.52114,-200.0, -200.0, 0.1593170166015625,-0.4633026123046875,-0.9081878662109375,-0.035163313150405884,-0.06412599235773087,0.10957922786474228,-24.418792724609375,9.775863647460938,-108.07804870605469
2022-06-30 21:49:42 +0000,-88.27996,-68.96676,-89.90627,-80.740585,-200.0,-92.23619,-200.0,-200.0,-90.24812,-84.55875,-58.856243,-200.0,-200.0,-69.29194,-92.43849,-200.0,-200.0,-200.0,-93.75517,-68.89197,-200.0, -200.0, -0.055938720703125,-0.542144775390625,-0.7821197509765625,0.03886883705854416,0.43823060393333435,0.8506160378456116,-24.418792724609375,9.775863647460938,-108.07804870605469
2022-06-30 21:49:43 +0000,-88.35519,-200.0,-89.86663,-80.88314,-90.178825,-92.35706,-90.976265,-91.39035,-90.281006,-200.0,-58.86253,-66.53734,-77.28671,-69.41038,-92.50679,-200.0,-200.0,-200.0,-93.78359,-200.0,-200.0, -200.0, 0.027923583984375,-0.461822509765625,-1.1102142333984375,-0.18738454580307007,0.5935823917388916,0.9636632204055786,-24.418792724609375,9.775863647460938,-108.07804870605469
2022-06-30 21:49:44 +0000,-200.0,-68.92448,-89.82873,-200.0,-90.25848,-92.38518,-90.9773,-91.32954,-200.0,-84.49057,-58.956013,-66.68878,-77.27417,-69.4799,-92.5721,-200.0,-200.0,-200.0,-200.0,-68.76549,-200.0, -200.0, 0.075408935546875,-0.351654052734375,-0.927490234375,-0.2808702886104584,0.07510806620121002,0.025728799402713776,-24.418792724609375,9.775863647460938,-108.07804870605469
2022-06-30 21:49:45 +0000,-88.60206,-68.88405,-200.0,-80.88825,-90.50959,-92.4558,-90.93456,-91.315125,-90.26872,-84.46912,-200.0,-66.746124,-77.34965,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.68827,-200.0, -200.0, -0.077239990234375,-0.311492919921875,-0.963409423828125,-0.026878219097852707,-0.12128408253192902,-0.04927806556224823,-68.64222717285156,7.8939361572265625,-112.87846374511719
2022-06-30 21:49:46 +0000,-88.6632,-68.80165,-200.0,-80.84941,-200.0,-200.0,-90.98116,-200.0,-90.300705,-84.49234,-200.0,-67.19458,-77.85918,-70.027466,-92.67828,-200.0,-200.0,-200.0,-200.0,-68.789375,-200.0, -200.0, -0.0214996337890625,-0.271453857421875,-0.9758453369140625,-0.06156828999519348,0.0709812343120575,-0.06028011813759804,-68.64222717285156,7.8939361572265625,-112.87846374511719
2022-06-30 21:49:47 +0000,-88.67793,-68.722855,-90.011154,-80.81226,-200.0,-92.523346,-200.0,-200.0,-90.50623,-84.60201,-59.264084,-200.0,-200.0,-70.37615,-92.823555,-200.0,-200.0,-200.0,-200.0,-69.017265,-200.0, -200.0, 0.0219879150390625,-0.235382080078125,-0.97161865234375,-0.11201362311840057,0.01104785781353712,-0.024835841730237007,-68.64222717285156,7.8939361572265625,-112.87846374511719
2022-06-30 21:49:48 +0000,-88.648285,-200.0,-90.09814,-80.73301,-200.0,-200.0,-90.807045,-91.38881,-90.6153,-200.0,-59.64615,-67.36101,-77.909065,-70.534645,-92.83127,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0, -200.0, 0.0103759765625,-0.2201385498046875,-0.988433837890625,-0.056164469569921494,0.05530506744980812,0.10307631641626358,-68.64222717285156,7.8939361572265625,-112.87846374511719
2022-06-30 21:49:49 +0000,-200.0,-68.86618,-200.0,-200.0,-90.66224,-200.0,-90.77175,-91.3718,-200.0,-84.53195,-60.09898,-67.520164,-77.86931,-70.64246,-92.838646,-200.0,-200.0,-200.0,-200.0,-68.88531,-200.0, -200.0, -0.050628662109375,-0.209808349609375,-0.9858856201171875,0.022107433527708054,-0.0816969946026802,-0.5400627255439758,-68.64222717285156,7.8939361572265625,-112.87846374511719
2022-06-30 21:49:50 +0000,-88.53246,-68.65335,-200.0,-80.61348,-90.80822,-200.0,-90.738,-91.35554,-90.632126,-84.42122,-200.0,-67.49741,-77.70009,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.627914,-200.0, -200.0, -0.023956298828125,-0.3329010009765625,-0.9449920654296875,-0.049300968647003174,-0.18368887901306152,-1.4716955423355103,-68.64222717285156,7.8939361572265625,-112.87846374511719
