,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
23,A04,-69.99941,-79.666325,-73.97517,-67.178635,-68.976074,-69.37955,-67.98422,-70.73606,-69.48856,-75.8307,-88.864835,-86.495,-80.9806,-85.296936,-76.27736,-77.85156,-88.79866,-89.09826,-78.489204,-85.482704,-200,-200.0,1
24,A04,-69.778946,-87.09261,-73.63236,-67.22906,-68.976074,-68.37409,-64.27229,-70.508125,-71.0,-75.8307,-88.864835,-87.16446,-80.72226,-83.08936,-73.132835,-77.65508,-88.79866,-89.09826,-78.489204,-85.482704,-200,-200.0,1
25,A04,-70.345406,-86.62158,-67.03969000000001,-65.21416,-63.91972,-68.35229,-64.07143,-70.170006,-70.075035,-78.72692,-88.864835,-86.495,-80.43238,-83.08936,-73.33039,-77.61257,-88.79866,-86.49776,-78.861565,-88.79238,-200,-200.0,1
26,A04,-69.036896,-79.666325,-67.03969000000001,-65.21416,-64.099236,-66.87109000000001,-64.00899,-70.04354,-70.19997,-78.47012,-88.864835,-86.495,-79.63336,-84.93195,-76.27736,-82.01598,-88.79866,-86.379684,-78.872475,-88.71909,-200,-85.53879,1
27,A04,-69.036896,-79.666325,-73.78602,-67.04087,-64.09373,-66.87109000000001,-67.98422,-70.73606,-70.43323,-75.8307,-88.864835,-87.44638,-80.34891,-84.87147,-76.27736,-82.01598,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.29495,1
28,A04,-70.90708,-86.22837,-73.55361,-66.927574,-68.976074,-67.99964,-67.98422,-70.73606,-71.0,-75.8307,-88.864835,-86.495,-80.60712,-83.08936,-74.28244,-78.37297,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.47051,1
29,A04,-70.97417,-86.0527,-73.40479,-66.93142,-63.770493,-67.62835,-64.00849,-69.87458,-71.0,-78.82901,-88.864835,-86.495,-80.15056,-83.08936,-74.20372,-78.1764,-88.79866,-86.05776,-78.489204,-85.482704,-200,-200.0,1
30,A04,-70.800835,-86.04882,-67.03969000000001,-65.21416,-63.47722,-67.39313,-64.167175,-69.562965,-70.64109,-79.14643,-88.864835,-86.495,-79.63336,-85.063515,-74.48324,-77.778,-88.79866,-85.70927,-78.66134,-88.65791,-200,-200.0,1
31,A04,-69.036896,-79.666325,-73.715416,-66.934906,-63.649193,-66.87109000000001,-64.2095,-69.28024,-70.49447,-75.8307,-88.864835,-87.27782,-79.63336,-85.29292,-76.27736,-82.01598,-88.79866,-85.66324,-79.30481,-88.92139,-200,-85.38024,1
32,A04,-69.036896,-79.666325,-73.8366,-66.79163,-68.976074,-67.42275,-67.98422,-70.73606,-70.46824,-75.8307,-88.864835,-87.12999,-80.447845,-85.60976,-74.23435,-78.16109,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.18324,1
33,A04,-71.08947,-85.35642,-74.25149,-66.70743,-68.976074,-67.402885,-64.49218,-69.02248,-71.0,-75.8307,-88.864835,-86.495,-80.76771,-83.08936,-74.00974,-78.45784,-88.79866,-89.09826,-78.489204,-88.78016,-200,-200.0,1
34,A04,-71.03168,-85.138596,-67.03969000000001,-65.21416,-63.947678,-67.38461,-64.28105,-68.78642,-71.0,-79.13789,-88.864835,-86.495,-80.73163,-83.08936,-73.65349,-78.58194,-88.79866,-85.74529,-79.80422,-88.51969,-200,-200.0,1
35,A04,-69.036896,-79.666325,-74.04394,-65.21416,-64.26747,-66.87109000000001,-64.22296,-68.56938,-70.74938,-78.96369,-88.864835,-87.24478,-79.63336,-85.365234,-76.27736,-82.01598,-88.79866,-85.70186,-79.877625,-88.35616,-200,-85.00652,1
36,A04,-69.036896,-79.666325,-73.75987,-66.76604,-64.5626,-66.87109000000001,-67.98422,-70.73606,-70.85925,-75.8307,-88.864835,-86.495,-80.381035,-85.75326,-76.27736,-82.01598,-88.79866,-89.09826,-78.489204,-85.482704,-200,-200.0,3
37,A04,-70.67431,-79.666325,-73.36265,-67.03931,-68.976074,-67.060905,-67.98422,-70.73606,-71.0,-75.8307,-88.864835,-86.939125,-79.96981,-83.08936,-73.6704,-78.64859,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.43053,3
38,A04,-70.44612,-84.57762,-67.03969000000001,-65.21416,-64.70853,-66.63378,-64.25703,-68.67593,-71.0,-78.54127,-88.864835,-86.495,-79.58901,-83.08936,-76.27736,-78.80056,-88.79866,-89.09826,-79.65164,-88.518456,-200,-200.0,3
39,A04,-70.28416,-84.13601,-67.03969000000001,-65.21416,-64.88527,-66.19583,-64.28857,-68.562325,-70.912865,-78.41211,-88.864835,-86.495,-79.63336,-85.423584,-76.27736,-82.01598,-88.79866,-85.71841,-79.44892,-85.482704,-200,-200.0,3
40,A04,-69.036896,-79.666325,-72.864555,-67.29236,-68.976074,-66.87109000000001,-64.19431,-68.53916,-70.78078,-78.1479,-88.864835,-87.10905,-79.63336,-85.26268,-76.27736,-82.01598,-88.79866,-86.1577,-79.79642,-88.42996,-200,-85.35783,3
41,A04,-70.54334,-84.017426,-72.36086,-67.40387,-68.976074,-65.74781,-67.98422,-70.73606,-70.65888,-75.8307,-89.981964,-86.89108,-79.4412,-85.02404,-74.06189,-82.01598,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.29154,3
42,A04,-70.69487,-83.75128,-72.05771,-67.747856,-68.976074,-65.523994,-64.546684,-68.59762,-71.0,-77.67096,-88.864835,-86.89662,-79.90374,-83.08936,-74.19512,-79.07232,-88.79866,-89.09826,-78.489204,-88.68367,-200,-200.0,3
43,A04,-70.92009,-83.408165,-67.03969000000001,-65.21416,-65.00991,-65.27646,-64.64221,-68.418594,-71.18281,-77.23242,-89.569786,-86.495,-79.63336,-83.08936,-74.31808,-79.49378,-88.79866,-86.4038,-79.75594,-88.43523,-200,-200.0,3
44,A04,-69.036896,-79.666325,-71.73527,-67.60192,-65.204216,-66.87109000000001,-64.769615,-68.36477,-71.134094,-77.26607,-89.27321,-86.950485,-79.63336,-84.62846,-76.27736,-82.01598,-88.79866,-89.09826,-80.06076,-88.260635,-200,-200.0,3
45,A04,-69.036896,-79.666325,-71.55088,-67.38937,-65.424126,-66.87109000000001,-67.98422,-70.73606,-71.088715,-75.8307,-89.13367,-87.18781,-79.67386,-84.30461,-76.27736,-79.72055,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.27784,3
46,A04,-71.1293,-83.48587,-71.41615,-67.2639,-68.976074,-65.11815,-67.98422,-70.73606,-71.0,-75.8307,-88.864835,-86.495,-79.53446,-83.08936,-74.68665,-80.051865,-88.79866,-89.09826,-78.489204,-85.482704,-200,-85.219894,3
