,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
24,R03,-79.18382,-73.726778,-81.50804,-66.823135,-77.39552,-83.29637,-80.81215,-82.530594,-85.06908,-65.08358,-76.35495,-82.08487,-55.480137,-75.38301,-88.5097505,-89.56708,-200,-200,-88.61131,-71.92485,-200,-200,3
25,R03,-79.18382,-73.703804,-81.66101,-66.71689,-77.39552,-84.515114,-80.02595,-80.32111,-87.25276,-65.3701,-76.35495,-81.80258,-56.132698,-74.73412,-88.00116,-89.56708,-200,-200,-88.93389,-71.72332,-200,-200,3
26,R03,-78.24084,-73.775764,-81.50593,-66.70780500000001,-77.39552,-83.89759,-80.49691,-80.32111,-86.94017,-65.40078,-79.29581,-79.56057,-55.89185,-75.543655,-88.0799,-89.56708,-200,-200,-89.338104,-71.28698,-200,-200,3
27,R03,-79.18382,-73.893745,-81.3933475,-66.732605,-77.39552,-83.29002,-80.81215,-82.55941,-85.06908,-65.349556,-78.987175,-79.56057,-55.675793,-75.86164,-88.5097505,-89.56708,-200,-200,-89.338104,-71.53313,-200,-200,3
28,R03,-79.18382,-73.726778,-81.25578,-67.383316,-77.39552,-83.29637,-80.81215,-82.17714,-85.06908,-65.17188,-78.987885,-81.97218,-55.480137,-76.035866,-88.5097505,-89.56708,-200,-200,-89.14516,-71.53313,-200,-200,3
29,R03,-79.024055,-73.726778,-81.45439,-68.126175,-77.39552,-83.29637,-80.81215,-80.32111,-86.59978,-65.56973,-76.35495,-81.56702,-55.69299,-74.73412,-87.85352,-89.56708,-200,-200,-89.26553,-70.96244,-200,-200,1
30,R03,-78.78954,-74.05161,-81.32965,-66.70780500000001,-77.39552,-83.73935,-80.38689,-80.32111,-86.88535,-65.40078,-76.35495,-81.148796,-55.606945,-74.73412,-88.5097505,-89.56708,-200,-200,-89.338104,-71.139465,-200,-200,1
31,R03,-78.96777,-74.000275,-81.3933475,-67.72948,-77.39552,-83.64279,-80.29133,-81.88973,-86.27854,-65.40078,-78.51113,-79.56057,-55.47968,-75.7157,-88.20814,-89.56708,-200,-200,-89.338104,-71.29827,-200,-200,1
32,R03,-79.18382,-73.726778,-81.3933475,-67.3192,-77.39552,-83.29637,-80.81215,-81.63036,-85.06908,-65.68837,-78.129395,-80.76581,-55.480137,-76.34002,-88.5097505,-89.56708,-200,-200,-89.372,-71.53313,-200,-200,1
33,R03,-79.39384,-73.726778,-81.36237,-67.214035,-77.39552,-83.29637,-80.53202,-81.44586,-85.06908,-65.65601,-76.35495,-80.45901,-55.480137,-77.05568,-88.324425,-89.56708,-200,-200,-89.46688,-71.17636,-200,-200,1
34,R03,-79.37382,-73.95326,-81.39234,-66.70780500000001,-77.39552,-83.343475,-80.867676,-80.32111,-86.20403,-65.58092,-76.35495,-80.17587,-55.598133,-74.73412,-88.05897,-89.56708,-200,-200,-89.551994,-71.57398,-200,-200,1
35,R03,-79.01385,-74.272804,-81.55593,-66.70780500000001,-77.39552,-83.17355,-81.399895,-80.32111,-86.303734,-65.40078,-77.87899,-79.56057,-55.344284,-74.73412,-88.23037,-89.56708,-200,-200,-89.338104,-71.39951,-200,-200,1
36,R03,-79.18382,-73.726778,-81.3933475,-67.555336,-77.39552,-83.75089,-80.81215,-81.57055,-86.07545,-65.16093,-77.74368,-79.56057,-55.153847,-76.771065,-88.5097505,-89.56708,-200,-200,-89.338104,-71.53313,-200,-200,1
37,R03,-79.18382,-73.726778,-81.487724,-67.44685,-77.39552,-83.29637,-80.81215,-81.59074,-85.06908,-64.6871,-78.07272,-79.78632,-55.480137,-77.09886,-88.5097505,-89.56708,-200,-200,-89.68185,-71.53313,-200,-200,1
