"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-19T05:01:28.235","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.08938","8.471708784399967"
"2022-05-19T05:01:29.343","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.08538","0.007289744400000115"
"2022-05-19T05:01:30.458","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63","-64.03697","1.075306780899993"
"2022-05-19T05:01:32.677","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.035324","0.0012477849760001976"
"2022-05-19T05:01:33.780","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.16712","8.025209094400017"
"2022-05-19T05:01:38.212","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.070915","4.288688937224998"
"2022-05-19T05:01:39.322","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-63.9791","3.91683681000001"
"2022-05-19T05:01:40.433","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-63.891457","3.5776095828490098"
"2022-05-19T05:01:42.645","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-63.89626","0.010761987600000402"
"2022-05-19T05:01:43.759","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-63.900845","0.009831714025000637"
"2022-05-19T05:01:44.862","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-63.90522","0.008983248400000017"
"2022-05-19T05:01:48.191","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.041756","8.751207563535962"
"2022-05-19T05:01:49.293","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.17217","7.996622508900033"
"2022-05-19T05:01:52.612","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.07648","4.311769190400015"
"2022-05-19T05:01:53.724","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-63.985054","3.9404393829159923"
"2022-05-19T05:01:54.829","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-63.98571","2.042041000000737E-4"
"2022-05-19T05:01:58.148","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-63.986336","1.8670489599996082E-4"
"2022-05-19T05:01:59.261","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.11881","8.30125581610002"
"2022-05-19T05:02:00.366","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.245415","7.587738522225032"
"2022-05-19T05:02:02.585","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.23464","0.05505592959999946"
"2022-05-19T05:02:03.693","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.224335","0.05032619222499839"
"2022-05-19T05:02:04.802","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.214485","0.0460038152249984"
"2022-05-19T05:02:08.119","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.33671","7.0931136241000186"
"2022-05-19T05:02:10.331","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-64.45354","6.48445853159998"
"2022-05-19T05:02:12.546","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.34594","5.503434483599994"
"2022-05-19T05:02:13.653","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.24308","5.031407886400028"
"2022-05-19T05:02:14.762","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.23243","0.05402370489999707"
"2022-05-19T05:02:18.082","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.222244","0.04939239553600153"
"2022-05-19T05:02:19.187","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.12487","4.515072516900005"
"2022-05-19T05:02:20.294","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62","-64.03178","4.128129968399991"
"2022-05-19T05:02:23.613","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.03039","9.235520999998195E-4"
"2022-05-19T05:02:24.724","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64","-64.02906","8.444836000000695E-4"
